week_start,customer_state,total_orders
2016-09-12,SP,1
2016-10-03,AL,1
2016-10-03,BA,2
2016-10-03,CE,6
2016-10-03,DF,5
2016-10-03,ES,3
2016-10-03,GO,7
2016-10-03,MA,2
2016-10-03,MG,31
2016-10-03,MT,1
2016-10-03,PA,4
2016-10-03,PE,6
2016-10-03,PI,1
2016-10-03,PR,17
2016-10-03,RJ,35
2016-10-03,RN,3
2016-10-03,RS,14
2016-10-03,SC,8
2016-10-03,SE,1
2016-10-03,SP,84
2016-10-10,BA,1
2016-10-10,DF,1
2016-10-10,MA,2
2016-10-10,MG,4
2016-10-10,PB,1
2016-10-10,PR,2
2016-10-10,RJ,5
2016-10-10,RN,1
2016-10-10,RR,1
2016-10-10,RS,3
2016-10-10,SC,1
2016-10-10,SE,2
2016-10-10,SP,10
2016-12-19,PR,1
2017-01-02,BA,1
2017-01-02,ES,1
2017-01-02,MG,3
2017-01-02,PR,30
2017-01-02,RJ,3
2017-01-02,RN,1
2017-01-02,SC,1
2017-01-02,SP,4
2017-01-09,BA,1
2017-01-09,CE,2
2017-01-09,DF,5
2017-01-09,ES,1
2017-01-09,GO,2
2017-01-09,MG,18
2017-01-09,PA,1
2017-01-09,PR,4
2017-01-09,RJ,10
2017-01-09,RS,2
2017-01-09,SC,5
2017-01-09,SE,1
2017-01-09,SP,21
2017-01-16,AC,2
2017-01-16,BA,3
2017-01-16,CE,1
2017-01-16,DF,4
2017-01-16,ES,4
2017-01-16,GO,4
2017-01-16,MA,1
2017-01-16,MG,27
2017-01-16,MS,1
2017-01-16,MT,1
2017-01-16,PA,3
2017-01-16,PB,1
2017-01-16,PE,4
2017-01-16,PI,2
2017-01-16,PR,4
2017-01-16,RJ,26
2017-01-16,RN,3
2017-01-16,RS,10
2017-01-16,SC,6
2017-01-16,SP,82
2017-01-23,AL,1
2017-01-23,BA,16
2017-01-23,CE,2
2017-01-23,DF,4
2017-01-23,ES,2
2017-01-23,GO,11
2017-01-23,MA,5
2017-01-23,MG,40
2017-01-23,MT,8
2017-01-23,PA,4
2017-01-23,PE,3
2017-01-23,PI,2
2017-01-23,PR,15
2017-01-23,RJ,34
2017-01-23,RN,1
2017-01-23,RO,3
2017-01-23,RS,35
2017-01-23,SC,8
2017-01-23,SE,1
2017-01-23,SP,135
2017-01-23,TO,2
2017-01-30,AL,4
2017-01-30,AM,2
2017-01-30,AP,1
2017-01-30,BA,20
2017-01-30,CE,6
2017-01-30,DF,3
2017-01-30,ES,5
2017-01-30,GO,2
2017-01-30,MA,1
2017-01-30,MG,55
2017-01-30,MS,1
2017-01-30,MT,4
2017-01-30,PA,7
2017-01-30,PB,3
2017-01-30,PE,6
2017-01-30,PI,6
2017-01-30,PR,36
2017-01-30,RJ,75
2017-01-30,RO,2
2017-01-30,RR,2
2017-01-30,RS,25
2017-01-30,SC,15
2017-01-30,SE,5
2017-01-30,SP,146
2017-02-06,AC,1
2017-02-06,AL,5
2017-02-06,AM,4
2017-02-06,BA,8
2017-02-06,CE,3
2017-02-06,DF,7
2017-02-06,ES,11
2017-02-06,GO,10
2017-02-06,MA,4
2017-02-06,MG,82
2017-02-06,MS,6
2017-02-06,MT,3
2017-02-06,PA,6
2017-02-06,PB,3
2017-02-06,PE,7
2017-02-06,PR,33
2017-02-06,RJ,81
2017-02-06,RN,1
2017-02-06,RO,2
2017-02-06,RS,20
2017-02-06,SC,22
2017-02-06,SE,4
2017-02-06,SP,188
2017-02-13,AC,1
2017-02-13,AL,1
2017-02-13,AM,2
2017-02-13,BA,16
2017-02-13,CE,5
2017-02-13,DF,6
2017-02-13,ES,8
2017-02-13,GO,7
2017-02-13,MA,2
2017-02-13,MG,61
2017-02-13,MS,2
2017-02-13,MT,4
2017-02-13,PA,7
2017-02-13,PB,3
2017-02-13,PE,4
2017-02-13,PI,3
2017-02-13,PR,28
2017-02-13,RJ,42
2017-02-13,RN,4
2017-02-13,RO,3
2017-02-13,RS,25
2017-02-13,SC,10
2017-02-13,SE,1
2017-02-13,SP,131
2017-02-13,TO,3
2017-02-20,AC,1
2017-02-20,AL,2
2017-02-20,BA,15
2017-02-20,CE,2
2017-02-20,DF,5
2017-02-20,ES,7
2017-02-20,GO,5
2017-02-20,MA,3
2017-02-20,MG,43
2017-02-20,MS,2
2017-02-20,MT,5
2017-02-20,PA,3
2017-02-20,PB,2
2017-02-20,PE,5
2017-02-20,PI,3
2017-02-20,PR,15
2017-02-20,RJ,43
2017-02-20,RN,1
2017-02-20,RO,2
2017-02-20,RS,28
2017-02-20,SC,11
2017-02-20,SE,4
2017-02-20,SP,141
2017-02-20,TO,1
2017-02-27,AC,2
2017-02-27,AL,2
2017-02-27,AP,1
2017-02-27,BA,18
2017-02-27,CE,6
2017-02-27,DF,11
2017-02-27,ES,10
2017-02-27,GO,8
2017-02-27,MA,2
2017-02-27,MG,60
2017-02-27,MS,4
2017-02-27,MT,3
2017-02-27,PA,7
2017-02-27,PB,6
2017-02-27,PE,5
2017-02-27,PI,3
2017-02-27,PR,26
2017-02-27,RJ,56
2017-02-27,RN,3
2017-02-27,RO,2
2017-02-27,RS,27
2017-02-27,SC,20
2017-02-27,SE,3
2017-02-27,SP,172
2017-02-27,TO,4
2017-03-06,AM,2
2017-03-06,BA,19
2017-03-06,CE,7
2017-03-06,DF,9
2017-03-06,ES,9
2017-03-06,GO,10
2017-03-06,MA,5
2017-03-06,MG,85
2017-03-06,MS,6
2017-03-06,MT,6
2017-03-06,PA,5
2017-03-06,PB,1
2017-03-06,PE,8
2017-03-06,PI,6
2017-03-06,PR,30
2017-03-06,RJ,85
2017-03-06,RN,5
2017-03-06,RO,4
2017-03-06,RS,25
2017-03-06,SC,14
2017-03-06,SE,6
2017-03-06,SP,199
2017-03-06,TO,2
2017-03-13,AL,3
2017-03-13,AM,1
2017-03-13,AP,1
2017-03-13,BA,19
2017-03-13,CE,7
2017-03-13,DF,12
2017-03-13,ES,14
2017-03-13,GO,11
2017-03-13,MA,6
2017-03-13,MG,71
2017-03-13,MS,4
2017-03-13,MT,5
2017-03-13,PA,8
2017-03-13,PB,3
2017-03-13,PE,9
2017-03-13,PI,2
2017-03-13,PR,27
2017-03-13,RJ,86
2017-03-13,RN,2
2017-03-13,RO,3
2017-03-13,RS,35
2017-03-13,SC,30
2017-03-13,SE,5
2017-03-13,SP,227
2017-03-20,AL,3
2017-03-20,AM,1
2017-03-20,AP,2
2017-03-20,BA,23
2017-03-20,CE,3
2017-03-20,DF,15
2017-03-20,ES,9
2017-03-20,GO,13
2017-03-20,MA,5
2017-03-20,MG,82
2017-03-20,MS,4
2017-03-20,MT,2
2017-03-20,PA,9
2017-03-20,PB,2
2017-03-20,PE,5
2017-03-20,PI,1
2017-03-20,PR,28
2017-03-20,RJ,102
2017-03-20,RN,3
2017-03-20,RO,2
2017-03-20,RR,1
2017-03-20,RS,42
2017-03-20,SC,18
2017-03-20,SE,6
2017-03-20,SP,241
2017-03-20,TO,2
2017-03-27,AL,4
2017-03-27,AM,2
2017-03-27,BA,14
2017-03-27,CE,4
2017-03-27,DF,11
2017-03-27,ES,6
2017-03-27,GO,8
2017-03-27,MA,6
2017-03-27,MG,79
2017-03-27,MS,2
2017-03-27,MT,4
2017-03-27,PA,11
2017-03-27,PB,5
2017-03-27,PE,10
2017-03-27,PI,2
2017-03-27,PR,24
2017-03-27,RJ,63
2017-03-27,RN,2
2017-03-27,RO,5
2017-03-27,RR,1
2017-03-27,RS,25
2017-03-27,SC,29
2017-03-27,SE,4
2017-03-27,SP,221
2017-03-27,TO,4
2017-04-03,AC,2
2017-04-03,AL,5
2017-04-03,AM,3
2017-04-03,BA,22
2017-04-03,CE,13
2017-04-03,DF,4
2017-04-03,ES,17
2017-04-03,GO,6
2017-04-03,MA,4
2017-04-03,MG,67
2017-04-03,MT,5
2017-04-03,PA,9
2017-04-03,PB,6
2017-04-03,PE,8
2017-04-03,PR,21
2017-04-03,RJ,72
2017-04-03,RN,2
2017-04-03,RO,1
2017-04-03,RR,1
2017-04-03,RS,40
2017-04-03,SC,23
2017-04-03,SE,1
2017-04-03,SP,231
2017-04-10,AL,5
2017-04-10,AM,1
2017-04-10,BA,20
2017-04-10,CE,11
2017-04-10,DF,7
2017-04-10,ES,6
2017-04-10,GO,5
2017-04-10,MA,7
2017-04-10,MG,44
2017-04-10,MS,1
2017-04-10,MT,7
2017-04-10,PA,6
2017-04-10,PB,3
2017-04-10,PE,8
2017-04-10,PI,3
2017-04-10,PR,15
2017-04-10,RJ,52
2017-04-10,RN,3
2017-04-10,RO,3
2017-04-10,RS,29
2017-04-10,SC,16
2017-04-10,SE,4
2017-04-10,SP,162
2017-04-10,TO,3
2017-04-17,AC,3
2017-04-17,AL,6
2017-04-17,AM,3
2017-04-17,BA,15
2017-04-17,CE,8
2017-04-17,DF,8
2017-04-17,ES,14
2017-04-17,GO,12
2017-04-17,MA,6
2017-04-17,MG,60
2017-04-17,MS,5
2017-04-17,MT,5
2017-04-17,PA,11
2017-04-17,PB,5
2017-04-17,PE,6
2017-04-17,PI,3
2017-04-17,PR,33
2017-04-17,RJ,86
2017-04-17,RN,2
2017-04-17,RS,31
2017-04-17,SC,27
2017-04-17,SE,3
2017-04-17,SP,189
2017-04-17,TO,4
2017-04-24,AL,4
2017-04-24,AM,5
2017-04-24,BA,23
2017-04-24,CE,9
2017-04-24,DF,11
2017-04-24,ES,8
2017-04-24,GO,13
2017-04-24,MA,7
2017-04-24,MG,75
2017-04-24,MS,8
2017-04-24,MT,5
2017-04-24,PA,8
2017-04-24,PB,6
2017-04-24,PE,13
2017-04-24,PI,5
2017-04-24,PR,36
2017-04-24,RJ,100
2017-04-24,RN,3
2017-04-24,RO,3
2017-04-24,RR,1
